event,logicNeg,cueNeg,pragNeg
PersonX forms PersonY estimate,[],[],[]
PersonX takes the ___ away,[],[],[]
PersonX feels too well,[],[],[]
PersonX crosses that ___ when come,[],[],[]
PersonX pulls an allnighter,[],[],[]
PersonX wakes PersonY up early,"[""PersonX does not wake PersonY up early""]",[],"[""PersonX lets  PersonY sleep late""]"
PersonX returns to school,[],[],[]
PersonX sees ___ together,[],[],[]
PersonX drives down the road,[],[],[]
PersonX is cheating on PersonY,"[""PersonX is not cheating on PersonY""]","[""PersonX is barely cheating on PersonY"", ""PersonX is by no means cheating on PersonY""]","[""PersonX is faithful to PersonY""]"
PersonX loves ___ much,[],[],[]
PersonX writes an article,[],[],[]
PersonX begins to play,[],[],[]
PersonX becomes more comfortable,"[""PersonX does not become more comfortable""]",[],"[""PersonX is made uncomfortable""]"
PersonX does god's work,[],[],[]
PersonX forgets every ___,[],[],[]
PersonX wears ___ every day,[],[],[]
PersonX makes scrambled eggs for breakfast,[],[],[]
PersonX puts PersonY's arm around PersonY,[],[],[]
PersonX shares PersonY's love,"[""PersonX does not share PersonY's love""]",[],"[""PersonX rejects PersonY's love""]"
PersonX quickly stopped,[],[],[]
PersonX spends ___ studying,[],[],[]
PersonX gets really mad,[],[],[]
PersonX is in PersonX's car,[],[],[]
PersonX turns away from PersonY,[],[],[]
PersonX takes the family,[],[],[]
PersonX uses the ___ to obtain,[],[],[]
PersonX tells PersonY the story,[],[],[]
PersonX buys a coffee,[],[],[]
PersonX loves PersonY's ___ also,[],[],[]
PersonX asks a friend to teach PersonY,[],[],[]
PersonX sees the sun rise,[],[],[]
PersonX makes PersonY study,[],[],[]
PersonX turns the key,[],[],[]
PersonX takes ___ to mexico,[],[],[]
PersonX defends PersonX's position,[],[],[]
PersonX loses PersonX's ___ as a result,[],[],[]
PersonX orders pizza for dinner,[],[],[]
PersonX puts ___ back,[],[],[]
PersonX sees a bird,[],[],[]
PersonX plays ___ at a park,[],[],[]
PersonX receives PersonX's education,[],[],[]
PersonX develops one's ___,[],[],[]
PersonX always looked,[],[],[]
PersonX plays it safe,[],[],[]
PersonX is scared and nervous,[],[],[]
PersonX likes to play video games,[],"[""PersonX dislikes to play video games""]",[]
PersonX puts PersonY in a jar,[],[],[]
