event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX takes PersonY's outside,"[""is afforded privacy"", ""none"", ""gets fresh air""]","[""refreshed"", ""excited"", ""happy"", ""fun""]","[""to play with PersonX"", ""to thank PersonX"", ""to chide PersonX"", ""to tell PersonX they don't like being outside""]",tst,"[""energetic"", ""motivated"", ""playful"", ""helpful"", ""caring"", ""gentle""]","[""creates privacy"", ""Person Y follows them."", ""gets fresh air"", ""Person Y accuses them of stealing.""]","[""to help y get air"", ""to spend time together"", ""to relieve stress"", ""to play baseball"", ""to have fun""]","[""to be at PersonY's"", ""to be feeling cold inside"", ""to approach PersonY"", ""to pick up something""]","[""exhausted"", ""concerned"", ""fun"", ""eager"", ""excited""]","[""to play outside"", ""to spend time outside"", ""to return something"", ""to mow the yard""]"
PersonX exchanges numbers,"[""none""]","[""none"", ""happy"", ""informed""]","[""to keep the phone number"", ""none"", ""to know more about personx"", ""to call PersonX"", ""to find out more""]",tst,"[""flirty"", ""sociable"", ""warm"", ""wild"", ""friendly"", ""curious""]","[""breathing"", ""fair in skin""]","[""a girlfriend"", ""a phone number"", ""to call each other""]","[""to desire more communication"", ""asks someone for a phone number"", ""exchanges a phone number"", ""to meet someone"", ""to like someone"", ""someone to interact with""]","[""eager"", ""happy"", ""informed""]","[""to be social"", ""to get to know more about someone"", ""to call someone"", ""to keep in touch"", ""to make money of someone"", ""to store the phone number""]"
PersonX learns how to bake a cake,"[""none""]","[""none"", ""satiated""]","[""none""]",tst,"[""ambitious"", ""interested"", ""Sweet tooth"", ""Creative"", ""creative"", ""curious""]","[""Gains life skill"", ""make a mess in the kitchen"", ""Gets warm when near oven"", ""Uses energy to utilize oven"", ""get powdered sugar on themselves""]","[""to eat"", ""to cook desert""]","[""She puts a cooking channel on."", ""She gets the products."", ""none"", ""to go to culinary school"", ""to look up a recipe"", ""to spend the day with their mother""]","[""like a chef"", ""accomplished""]","[""to heat the oven"", ""to advertise their new found hobby on social media"", ""Brags about how good it is."", ""She takes it to their birthday."", ""to mix batter"", ""to bake cakes to sell""]"
PersonX cuts swathes,"[""none""]","[""none"", ""grateful""]","[""none"", ""to keep safe"", ""to avoid PersonX""]",tst,"[""hardworking"", ""productive"", ""crafty"", ""violent"", ""creative"", ""skillful""]","[""gets sweaty"", ""gets a manicured lawn"", ""gets exercise""]","[""to have clear land"", ""to be helpful"", ""to have clean backyard""]","[""needs scissors"", ""none"", ""needs something sharp""]","[""helpful"", ""satisfied"", ""happy""]","[""to dispose of"", ""to do damage"", ""to gain power"", ""to show craftsmanship"", ""to make something"", ""clean up mess""]"
PersonX cleans PersonY's bedroom,"[""is surprised"", ""hugs X"", ""feels indebted"", ""rearranges their room"", ""thanks X"", ""looks for their items""]","[""grateful"", ""happy"", ""grateful."", ""thankful""]","[""take a nap"", ""thank person x"", ""to reciprocate"", ""say thank you"", ""to thank PersonX"", ""to have a clean room""]",tst,"[""industrious"", ""nice"", ""caring"", ""helpful"", ""Loyal"", ""Nice""]","[""gets some windex"", ""gets thanked"", ""none"", ""gets tired out"", ""makes the bed""]","[""to be helpful"", ""to show care for persony"", ""to practice being a maid"", ""to be nice"", ""to be helpful.""]","[""to make the bed"", ""gather cleaning supplies"", ""go to person y room"", ""go to the bedroom"", ""to pick up cleaning supplies"", ""go to person y house""]","[""helpful"", ""good."", ""happy to be helpful"", ""good about themselves""]","[""take a nap"", ""put cleaning supplies away"", ""to clean other areas of the house"", ""to rest"", ""chill out"", ""to be paid""]"
PersonX helps another ___,"[""offer thanks"", ""accept assistance"", ""get what they need."", ""pay it forward"", ""learn new information.""]","[""grateful"", ""happy""]","[""none"", ""Get work done"", ""receive care"", ""Go an ambulance"", ""to thank person x""]",tst,"[""sympathetic"", ""generous"", ""helpful"", ""unselfish"", ""friendly""]","[""aids"", ""gives time."", ""talks to help."", ""assists"", ""relieves"", ""smile.""]","[""to be kind"", ""to help"", ""to aid everyone""]","[""to see how to help"", ""analyze the problem"", ""offer help"", ""to find out what's wrong"", ""Runs over"", ""Go to store"", ""devise a problem solution"", ""see a person in need""]","[""helpful"", ""tired"", ""interested"", ""supportive""]","[""write it up"", ""to be kind"", ""Ask if she's okay"", ""Call 911"", ""practice charity"", ""check the results""]"
PersonX looks PersonY's way,"[""notices Person X"", ""none"", ""realizes it is Person X""]","[""none"", ""appreciated"", ""surprised to see x""]","[""to say hello"", ""to observe PersonX"", ""to greet PersonX"", ""to look away""]",tst,"[""seeing"", ""interested"", ""Interested"", ""Aroused"", ""wondering"", ""looking""]","[""recognizes Person Y"", ""none"", ""catches Person Y's stare""]","[""none"", ""to see person walk in"", ""to be able to catch person's attention""]","[""to spot PersonY"", ""to look for PersonY"", ""to turn his/her head"", ""to notice PersonY""]","[""satisfied"", ""curious"", ""happy""]","[""to greet PersonY"", ""to say hello"", ""to look away"", ""to walk up to PersonY""]"
PersonX gives PersonY the slip,"[""loses PersonX"", ""none"", ""got slip"", ""gets stuck with the bill"", ""feels thankful"", ""fails on their mission""]","[""person y would feel ok because y would not know that x gave the slip"", ""ok because because y got to work on time"", ""disappointed"", ""hurt"", ""being avoided and horrid"", ""angry"", ""ok because y arrived at the appointment on time""]","[""to accept the slip"", ""to use information"", ""to look for PersonX"", ""to inform police"", ""to beat PersonX"", ""to ask questions""]",tst,"[""inconsiderate"", ""impetuous"", ""clever"", ""rude"", ""cunning"", ""cruel"", ""mean""]","[""heart rate increases"", ""is free"", ""number of slip decreases"", ""become great"", ""avoids responsibility"", ""stresses about being caught"", ""escapes from PersonY"", ""runs away""]","[""to get to  work on time"", ""to hurry to an appointment"", ""to fire person y"", ""to avoid seeing person y"", ""to avoid being confronted by the hand loan seeker""]","[""to have taken something of PersonY"", ""to have information"", ""to approach PersonY"", ""to fill out a slip"", ""to be knowing Y"", ""to be scared of PersonY""]","[""happy to get to the appointment"", ""safe and secure"", ""reliieved not to have to talk to y"", ""sorry"", ""content"", ""happy to get to work on time"", ""upset""]","[""to steer clear of PersonY"", ""to help"", ""to instruct PersonX"", ""to share information"", ""to part ways"", ""to sit in a corner and hope they are not seen""]"
PersonX runs for class president,"[""Voters allow PersonX to be elected"", ""Voters think about PersonX"", ""none""]","[""none"", ""proud""]","[""none"", ""Vote"", ""Canvass""]",tst,"[""political"", ""hopeful"", ""campaigning"", ""lobbying""]","[""sweats while speaking"", ""is supported by his friends"", ""is despised by hs enemies"", ""caters to the public""]","[""to feel important"", ""to make a difference in their classroom""]","[""Make slogan"", ""apply to run"", ""Announce campaign"", ""decide to run""]","[""excited"", ""happy""]","[""Make speech"", ""wait for votes"", ""Make poster"", ""see who wins""]"
PersonX gets the stain,"[""none""]","[""none""]","[""none""]",tst,"[""careless"", ""sloppy"", ""smeared"", ""irresponsible"", ""flawed"", ""messy""]","[""washing clothes"", ""is mocked by others"", ""ironing clothes"", ""looks dirty""]","[""none""]","[""to fall"", ""none"", ""to trip""]","[""slightly upset""]","[""to yell swear words"", ""get detergent"", ""to clean up the stain"", ""wash clothes""]"
PersonX makes ___ the other day,"[""none""]","[""none""]","[""Becomes his friend."", ""none"", ""Tells him her favorite recipe.""]",tst,"[""helpful"", ""active"", ""assertive"", ""busy""]","[""hears noise"", ""ignored"", ""thanked"", ""cringes at noise""]","[""to enjoy it."", ""to have something for themselves""]","[""Pours it in her cup."", ""The ingredients in the blender."", ""to mix batter"", ""to buy ingredients"", ""to get all material for what they want to make"", ""to go to the store"", ""to get drunk""]","[""happy"", ""creative""]","[""to wash dishes"", ""Tell her how to make it."", ""to wear what they made"", ""Give her the ingredients."", ""to sell the table they made"", ""to shout and yell"", ""to eat""]"
PersonX creates the ___ in days,"[""none""]","[""none""]","[""none""]",tst,"[""hard working"", ""skillful"", ""talented"", ""dominant"", ""diligent""]","[""becomes tired"", ""body trembles"", ""falls asleep"", ""no effect""]","[""to have it ready""]","[""Decide what to create"", ""Work hard"", ""To be consistent"", ""none"", ""To work with dedication""]","[""hurried""]","[""relax"", ""To wrap up"", ""sleep"", ""Name things"", ""take notes"", ""To finish the work""]"
PersonX never occurred to PersonY,"[""left alone"", ""cried"", ""none""]","[""frustrated""]","[""to find out more about PersonX"", ""to exchange info with PersonX""]",tst,"[""confused"", ""arrogant"", ""boring"", ""misunderstood"", ""ignorant"", ""ordinary""]","[""bad"", ""none"", ""sorrow""]","[""none""]","[""none""]","[""unaware""]","[""to make themselves known to PersonY"", ""to speak to PersonY""]"
PersonX holds PersonY's attention,"[""GET A NEW THING"", ""none"", ""work on communication skills"", ""TO AVODI IT"", ""learn something new""]","[""captivated"", ""interested"", ""attentive"", ""amused""]","[""to help him"", ""none"", ""walk away."", ""to respond verbally."", ""to serve him""]",tst,"[""influential"", ""captivating"", ""intuitive"", ""inspiring"", ""fascinating"", ""interesting""]","[""none"", ""improves communication skills"", ""teaches something""]","[""none"", ""to entertain"", ""to be noticed""]","[""Grab a hold of Person Y attention"", ""none"", ""Hold attention by saying or doing somethine""]","[""ood"", ""accomplished"", ""acknowledged""]","[""person attention to the goal"", ""to attract him"", ""to control him"", ""to attention"", ""to get feedback."", ""to know he has been heard.""]"
PersonX practices all day,"[""Is inspired to practice more"", ""none"", ""Notices improvement in X""]","[""impressed"", ""none"", ""astonished""]","[""none"", ""to get better"", ""to win the competition""]",tst,"[""determined"", ""impressive"", ""constant"", ""eager"", ""diligent"", ""persistant""]","[""Improves their skiil"", ""becomes an expert"", ""sleeps like a baby"", ""learns something new"", ""has tired hands"", ""Gets tired of doing it and stops altogether""]","[""to be good at it"", ""to put on a good performance"", ""to be the best""]","[""none"", ""Go to the play gound"", ""to get their ball"", ""take the ball"", ""to go to the park""]","[""ready"", ""prepared"", ""exhausted""]","[""to win the competition"", ""take part in the contest"", ""be the best at something"", ""win the contest"", ""to get better"", ""win a game""]"
PersonX smells something,"[""none""]","[""none""]","[""none"", ""to thank PersonX for noticing."", ""to thank PersonX for turning off the oven.""]",tst,"[""inquisitive"", ""Grossed out"", ""Sick"", ""curious"", ""attentive""]","[""escape the flames"", ""reflects something different is taking in place"", ""report the fire"", ""nose sensor works"", ""uses deodorant"", ""lights a candle""]","[""none""]","[""be near a smell"", ""none"", ""have a nose""]","[""confused"", ""interested"", ""curious"", ""intrigued""]","[""to know the real fact of things"", ""to turn off the oven."", ""to decide conclude"", ""to tell his wife that the cake is burned.""]"
PersonX finally got up,"[""none""]","[""none""]",[],tst,"[""ambitious"", ""lazy"", ""bored"", ""great"", ""awake"", ""rested"", ""engaged""]","[""gets moving"", ""none"", ""Got written up in job"", ""goes walking"", ""missed appointment""]","[""to start the day"", ""to go somwhere""]",[],"[""satisfied"", ""obligated""]",[]
PersonX reduces the ___ to levels,"[""becomes inspired"", ""becomes resentful"", ""none""]","[""happy to get their problem solved.""]","[""none"", ""to praise him"", ""to encourage him""]",tst,"[""smart"", ""industrious"", ""cunning"", ""skillful"", ""competent"", ""diligent"", ""breaking down""]","[""is commended for his efforts"", ""is approved of"", ""is touted as an example"", ""gets elected""]","[""to make an accomplishment""]","[""make sacrifices"", ""to make a plan"", ""to make arrangements for it"", ""to know the minimum levels"", ""to have studied the different levels"", ""to buy machines of better quality""]","[""happy about his success""]","[""to share the good news"", ""to improve further"", ""to save the earth"", ""to protect the environment"", ""to teach everyone the benefit of low levels"", ""to keep the levels low always""]"
PersonX is walking across the street,"[""none""]","[""none""]","[""none""]",tst,"[""energetic"", ""busy"", ""hard working"", ""content"", ""cautious"", ""talented""]","[""gets hit by a car"", ""sweats"", ""keeps walking"", ""PersonX obeys the traffic signals"", ""gets a ticket for jwalking"", ""PersonX stays in the crosswalk""]","[""to catch a bus."", ""to get to the other side""]","[""leave the house"", ""put on shoes"", ""to look both ways"", ""to check if the light for crossing is green"", ""to press the walk button"", ""to look right then left and right again""]","[""neutral."", ""like there are closer to where they are going""]","[""to walk their dog around the neighborhood"", ""buy groceries"", ""to say hi to their friend"", ""return home"", ""to go into the gas station market"", ""to walk on the curb"", ""to go to the grocery store""]"
PersonX applies for jobs,"[""none""]","[""none""]","[""have an interview with PersonX"", ""none"", ""hire PersonX""]",tst,"[""hardworking"", ""impecunious"", ""unemployed"", ""graduate"", ""confident"", ""desperate"", ""eager"", ""hopeful""]","[""gets rejected from a job"", ""She makes $1 million/year."", ""gets a new job"", ""gets hired"", ""gets an interview"", ""She gets a job as manager.""]","[""to get a better life"", ""to afford food and rent"", ""to make more money"", ""to have his own apartment.""]","[""to decide where to apply."", ""to prepare resume or CV"", ""turn on the computer"", ""go to a job search website"", ""write a CV"", ""to get a resume ready."", ""to fill forms""]","[""weary"", ""pessimistic"", ""rejected"", ""encouraged."", ""hopeless""]","[""to gain financial security"", ""to go to work"", ""to make money"", ""to obtain employment"", ""to buy a car""]"
PersonX puts everything,"[""none""]","[""loved""]","[""none""]",tst,"[""confident"", ""responsible"", ""greedy"", ""cocky""]","[""none"", ""keeps a clean home"", ""smiles at the work""]","[""to clean up""]","[""to have done laundry"", ""to have something"", ""a place where to put them"", ""to have grocery shopping""]","[""better""]","[""to get everything in order"", ""to get some rest"", ""to store it in the garage"", ""to clean up the rest of the house""]"
PersonX borrows this thesis for use,"[""none""]","[""none""]","[""to tell PersonX off"", ""to cooperate with PersonX"", ""none""]",tst,"[""A scholar"", ""dishonest"", ""Well-educated"", ""sneaky"", ""observant"", ""curious""]","[""studies the content of thesis"", ""none"", ""is caught for stealing"", ""makes note of useful points."", ""reads the papers thoroughly""]","[""to read"", ""to learn something""]","[""to approach someone"", ""to ask someone to lend it to them"", ""to ask someone for permission"", ""to go to the library""]","[""satisfied"", ""ok""]","[""to use the thesis in a paper"", ""to study for a test"", ""to plagiarize"", ""to write a report""]"
PersonX needs a lot of work,"[""none"", ""they hire them"", ""they are glad to have a good employee""]","[""none""]","[""none""]",tst,"[""expectant"", ""hard working"", ""workoholic"", ""talented"", ""dilligent"", ""curious""]","[""they earn more pay"", ""go to different places"", ""need money"", ""They look for work""]","[""none""]","[""none"", ""to bored"", ""to get engaged""]","[""downtrodden"", ""stressed and disappointed"", ""sad"", ""poor""]","[""to do the work"", ""to do their assignments"", ""to get appreciated"", ""to allot tasks"", ""to be acknowledged for their effort"", ""to figure out what they need"", ""to appoint people"", ""to make a plan to complete""]"
PersonX gets a call ___,"[""gained information"", ""none"", ""TO HAVE ENFORCED"", ""passed on information"", ""NONE"", ""TO BE ENTILE""]","[""communicative"", ""happy to have talked to their son."", ""happy""]","[""to speak"", ""to hang up"", ""to have a conversation"", ""to leave a message""]",tst,"[""dependable"", ""busy"", ""popular"", ""social""]","[""decides something new"", ""TO BE ENFORCED"", ""TO HAVE ENTILTLE"", ""processes new information"", ""learned new information"", ""NONE"", ""has a task to complete""]","[""none""]","[""none"", ""To have a phone"", ""To own a mobile""]","[""interested"", ""happy."", ""special"", ""remembered"", ""alerted""]","[""to speak"", ""to answer the phone"", ""to have a conversation"", ""to ignore it""]"
PersonX calls around,"[""answers phone"", ""none"", ""answers questions""]","[""angry"", ""none"", ""frustrated""]","[""to fix something to drink"", ""to offer something to eat"", ""none"", ""to invite PersonX in""]",tst,"[""inquisitive"", ""uncomfortable with the rain."", ""easy to play with the pitch"", ""curious"", ""talkative"", ""social""]","[""dials phone"", ""gets feedback"", ""picks up ohone"", ""gets informed""]","[""to inform neighbors"", ""to sell things over the phone"", ""to find the meeting time."", ""to find someone"", ""to gather information""]","[""to get in the car"", ""to know the price."", ""to get numbers"", ""special merchandise."", ""to call to see if anyone is home"", ""to have a phone""]","[""satisfied"", ""annoyed."", ""relieved""]","[""to watch a movie"", ""to set up an appointment"", ""to visit for awhile"", ""to find out information"", ""to go get the merchandise."", ""to enjoy the merchandise."", ""check up on the well being of a friend""]"
PersonX goes ___ after work,"[""meets date"", ""none"", ""becomes nervous""]","[""none""]","[""none""]",tst,"[""busy"", ""fun"", ""hard-working"", ""active"", ""adventurous"", ""enthusiastic""]","[""gets complimented on looks"", ""Gets relaxed"", ""becomes nervous"", ""Gets tired"", ""Gets energetic""]","[""to have some fun"", ""to unwind"", ""to get stuff done"", ""to relax a bit"", ""to do something""]","[""to have a job"", ""to go to work"", ""To walk there"", ""To get a cab""]","[""like it's a good way to relax"", ""tired"", ""good"", ""relaxed""]","[""To enjoy it"", ""to sleep"", ""To go back home"", ""to get another job""]"
PersonX finds a good one,"[""they like it"", ""they look for one for themselves""]","[""none"", ""wanted.""]","[""none""]",tst,"[""detail oriented"", ""observant"", ""aware"", ""curious"", ""careful"", ""enthusiastic""]","[""he buys it"", ""he shows it to his friends""]","[""none"", ""more friends.""]","[""decide he wants one"", ""to look for it"", ""to look for sales"", ""to search for one""]","[""excited and happy"", ""excited.""]","[""to take it home"", ""to buy more"", ""to buy one"", ""to use it""]"
PersonX looks like new,"[""none""]","[""none""]","[""to do some work around the house too"", ""none"", ""to work with them""]",tst,"[""fresh"", ""trendy"", ""attractive"", ""well dressed""]","[""none"", ""gets stared at"", ""gets complimented""]","[""to look younger after the plastic surgery.""]","[""to buy new clothes"", ""to of ate well"", ""to of rested"", ""to get a makeover"", ""wash themselves"", ""decide they look bad"", ""to lose weight""]","[""satisfied.""]","[""go out to party"", ""smile at themselves"", ""to something fun"", ""to go out"", ""to get some work done around the house"", ""to put pictures up online""]"
PersonX gives PersonX's name,"[""Other people are made aware of nane"", ""none"", ""Other people begin to introduce themselves"", ""They check his information"", ""they do a background check""]","[""none""]","[""none""]",tst,"[""friendly."", ""reliable."", ""helpful"", ""verbal"", ""honest"", ""friendly"", ""useful.""]","[""corrects PersonY"", ""none"", ""Person x is more at ease and continues to speak"", ""Person x becomes known"", ""PersonX name is called""]","[""to have a name.""]","[""to practise for it"", ""to talk"", ""get a great idea"", ""to make arrangements"", ""none"", ""win a special event"", ""communicate""]","[""happy.""]","[""glad"", ""to prove his skills"", ""to win the competition"", ""share it with others"", ""maintains their integrity"", ""register it"", ""participate"", ""waits for a response""]"
PersonX deals with PersonY,[],[],[],tst,[],[],[],[],[],[]
PersonX sees PersonY later,"[""gets questioned from police for standing in same spot in front of school waiting for PersonX"", ""PersonY has conversation with Personx"", ""gets cold from waiting for PersonX"", ""PersonY is seen by PersonX""]","[""unhappy"", ""delighted""]","[""to talk to PersonX"", ""none"", ""to greet PersonX"", ""to do something fun"", ""to hang out again""]",tst,"[""reliable"", ""happy"", ""timely"", ""pleased""]","[""Meets PersonY"", ""gets look of disapproval"", ""gets called out for being late"", ""Says hello to PersonY""]","[""none"", ""to interview person""]","[""to make an appointment with PersonY"", ""to keep an appointment with PersonY"", ""to be seeing them again"", ""to have seen person Y earlier"", ""to see them"", ""to go to a location""]","[""satisfied"", ""happy""]","[""to greet PersonY"", ""to go home"", ""to talk"", ""to talk to PersonY"", ""to hang out with person y"", ""to hang out""]"
