event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX has few friends,"[""They loves person x"", ""They wants to stand behind person x"", ""none"", ""none""]","[""none""]","[""none"", ""none""]","[""anti-social"", ""solitary"", ""Friendly"", ""Confidently"", ""Truthfully"", ""lonely"", ""aloof"", ""unpopular"", ""reclusive""]","[""person x want to make many friends"", ""person x loves to have lot of friends"", ""person x spends his time with his friends"", ""person x always gave importance to his friends"", ""appreciates their friends more"", ""does not have many social connections"", ""none"", ""get a work done"", ""is lonely"", ""is sad""]","[""none""]","[""none"", ""none""]","[""unfriendly"", ""busy"", ""lonely"", ""sad"", ""unpopular"", ""depressed""]","[""to go out and meet new people"", ""spend all their time with those friends"", ""become nice"", ""finds more friend"", ""to cut their wrists"", ""to commit suicide"", ""Go out"", ""meet new people"", ""more people"", ""a support system""]",tst,PersonX has many friends,few,single_word
PersonX disagrees on anything,"[""none"", ""none"", ""get a work done""]","[""exhausted"", ""angry"", ""none"", ""they're being stubborn"", ""frustrated"", ""none"", ""discouraged"", ""annoyed"", ""irritable""]","[""none"", ""to stop having to argue with PersonX"", ""to help him become more open-minded"", ""none""]","[""antagonistic"", ""confident"", ""argumentative"", ""critical"", ""confrontational"", ""combative"", ""crazy"", ""confident""]","[""none"", ""Is avoided"", ""goes to sleep"", ""none"", ""get a work done"", ""Screams in rage"", ""Is yelled at""]","[""To have things their way"", ""Are unable to compromise"", ""to cause an argument"", ""to prove a point"", ""powerful over others"", ""to do it their way"", ""to be stubborn"", ""none"", ""to challenge others"", ""be annoying""]","[""none"", ""listen to the thing"", ""take it in"", ""to understand why he is so disagreeable"", ""to start being more open-minded"", ""loves to argue"", ""likes to be right"", ""to be alone"", ""to make decision""]","[""exhausted"", ""angry"", ""vindictive"", ""proud of themselves"", ""powerful"", ""in control"", ""disagreeable"", ""rude"", ""unagreeing"", ""unhappy"", ""proud"", ""happy""]","[""prove his on point"", ""leave the place"", ""ignore it all"", ""get  not to listen"", ""confuesed"", ""to conversion"", ""to do some re-thinking"", ""to find some peace of mind"", ""to be a know it all"", ""not admit their wrong"", ""to consult with others"", ""to make a decision with others""]",tst,PersonX agrees on anything,disagree,affixes_verb
PersonX has no money,"[""none"", ""none""]","[""none"", ""bad for their dependents"", ""none""]","[""none"", ""none""]","[""broke"", ""poor"", ""destitute"", ""irresponsible"", ""lazy"", ""poverty stricken"", ""a small child"", ""broke"", ""busted"", ""penniless""]","[""Given money from parents"", ""Told to get a job"", ""bills pile up"", ""gets kicked out"", ""loses place to live, can't pay rent"", ""goes hungry, can't buy food"", ""starves"", ""faints from lack of food"", ""plan for a meeting"", ""loses some of his self-worth"", ""frowns"", ""cannot pay bills"", ""goes into debt""]","[""none"", ""mismanaged finances"", ""did not work"", ""none""]","[""none"", ""spend their money"", ""lose a job"", ""lose his job"", ""unable to find another job"", ""not have a job"", ""be bad with money"", ""to not be employed"", ""not get paid by job""]","[""poor"", ""broke"", ""sad"", ""upset"", ""poor"", ""unhappy"", ""broke"", ""bored"", ""frustrated"", ""worried""]","[""look in classifides for job"", ""go to job interview"", ""looks for a job"", ""gets not to eat"", ""to make money"", ""to get a job"", ""to get job"", ""to earn money"", ""to get money"", ""get a job"", ""save some money"", ""to continue searching for a job"", ""to find a part-time job in the meantime"", ""get a job"", ""create financial budget"", ""get a new career"", ""learn how to budget finances""]",tst,PersonX has a lot of money,no,single_word
PersonX is unable to find it,"[""none"", ""none""]","[""none""]","[""none"", ""none""]","[""slow"", ""stupid"", ""frustrated"", ""aggravated"", ""absentminded"", ""forgetful"", ""failed"", ""lost""]","[""person x is seeking for something"", ""person x wants to found the way"", ""person x stands in the unknown place"", ""person x want to find the way in the map"", ""gets in trouble"", ""has to buy another item"", ""none"", ""get a work done"", ""gets frustrated"", ""becomes nervous""]","[""none""]","[""none"", ""search for it"", ""inform the police"", ""retrace steps"", ""have bad vision"", ""none"", ""to look for it"", ""to search the room""]","[""irresponsible"", ""not observant"", ""frustrated"", ""incapable"", ""Lost"", ""Confused"", ""Hopeless""]","[""to ask help"", ""to look out"", ""find a place to rest"", ""go home"", ""buy replacement"", ""put on eye glasses"", ""ask someone for help finding it"", ""focus hard on where it is"", ""to give up"", ""to keep looking""]",tst,PersonX is able to find it,unable,affixes_adj
PersonX asks nobody,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""Cautious"", ""Careful"", ""knowledgeable"", ""omniscient"", ""reserved"", ""quiet"", ""stubborn"", ""self sufficient""]","[""they stay lost"", ""they use their gps"", ""doesnt talk"", ""doesnt know"", ""get a work done"", ""stays alone"", ""misses friends"", ""get lost"", ""are late""]","[""to do it themselve"", ""to figure out the problem"", ""to find the answer themselves"", ""ignore the problem"", ""be left alone"", ""To hide that he doesn\u2019t know it"", ""To show that he knows everything"", ""none"", ""to do this on their own"", ""to not hear an answer they may not like""]","[""none"", ""to find the way"", ""to ask for the way"", ""to know the information"", ""to ask someone"", ""none"", ""to have a question"", ""to be around people"", ""to have a plan"", ""to apply the plan""]","[""smart"", ""accomplished"", ""ashamed"", ""content"", ""alone"", ""ignored"", ""Regretful"", ""At lost"", ""nothingness"", ""alone"", ""Nervous"", ""Cautious"", ""Hopeful""]","[""Avoid human interaction"", ""Keeps to themselves"", ""to get into a cab"", ""to reach the destination"", ""to get help"", ""to seek the information"", ""to search for info"", ""to read paper"", ""to try to figure it out on their own"", ""to check their answer"", ""to find a own way"", ""to be successful""]",tst,PersonX asks anyone,nobody,single_word
PersonX refuses PersonY's grandmother.,"[""none"", ""receives comfort from strangers"", ""is treated to dinner by relatives""]","[""hurt"", ""betrayed"", ""confused"", ""sad"", ""none""]","[""none"", ""to leave"", ""to not talk to PersonX""]","[""spurn"", ""reject"", ""harsh"", ""hard to please""]","[""is scolded"", ""is disinherited"", ""is ostracized by family members"", ""gets an earful from onlookers""]","[""to make a statement"", ""to get back at PersonY"", ""to hurt persony's grandmother"", ""to take time out for themselves"", ""none""]","[""none"", ""to meet PersonY's grandmother"", ""to talk to PersonY's grandmother""]","[""angry"", ""upset"", ""guilty"", ""determined"", ""sad"", ""bitter""]","[""breakup the friendship"", ""feel sad"", ""to stay home"", ""to take rest"", ""to leave"", ""to go home"", ""to not talk to PersonY's grandmother""]",tst,PersonX asks PersonY's grandmother,refuse,verb
PersonX is in the united states,"[""none""]",,"[""none""]","[""American"", ""just visiting"", ""local""]","[""moves to Europe"", ""starts a business"", ""gets yelled at"", ""starts to cry"", ""is stressed out""]",,"[""none"", ""to be a citizen of united states"", ""to vote in the president elections""]",,"[""to be a good citizen"", ""to do work for his country"", ""to be proud citizen of united states""]",tst,PersonX takes place in europe,unite,affixes_verb
PersonX fails to warn PersonY.,"[""doesn't avoid traffic delay"", ""is late for work"", ""gets hit"", ""feels anxious""]",,"[""be warned"", ""receive an explanation"", ""to call personx out"", ""to murder personx""]","[""derelict"", ""irresponsible"", ""preoccupied""]","[""none"", ""sees persony fail"", ""gets embarrassed""]",,"[""none""]",,"[""warn personY"", ""stay uninvolved"", ""to put persony in danger"", ""to harm persony""]",tst,PersonX gives PersonY a warning,fail,verb
PersonX is disorganized.,"[""none"", ""They want to blame personx"", ""They to arrange new organization""]",,"[""none""]","[""forgetful"", ""messy"", ""inattentive"", ""careless""]","[""can't find anything they need"", ""everything is in the wrong place"", ""person x fails to organise"", ""person x doesn't know about organization"", ""person x blames the new organizer""]",,"[""none""]",,"[""to start being organized"", ""to call for help"", ""to be steady"", ""to be fit""]",tst,PersonX gets everything together,disorganize,affixes_verb
PersonX dislikes PersonY's company,"[""They observe personX\u2019s distant behavior"", ""They silently weep"", ""they are asked to leave"", ""they are spit on""]",,"[""none"", ""to explain themselves"", ""to write a detailed apology letter""]","[""rude"", ""cold"", ""unsociable"", ""hateful"", ""spiteful""]","[""They avoid personY"", ""They make new friends"", ""none""]",,"[""none"", ""torture the person"", ""irritate the person""]",,"[""Prefer timeline to open new company"", ""Arrange things"", ""resign the job"", ""and search the new job"", ""to get a restraining order against PersonY"", ""to close the latch on their door""]",tst,PersonX enjoys PersonY's company,dislike,affixes_verb
PersonX fails to follow through for PersonY,"[""none""]",,"[""to seek revenge"", ""to get back at personx"", ""none""]","[""untrusting"", ""careless"", ""useless"", ""incompetant""]","[""puts on a frown"", ""remains unfocused"", ""Scolded by personY"", ""Told to follow through with what they say""]",,"[""none""]",,"[""to harm persony"", ""to make persony fail"", ""to feel sorry"", ""to be wise""]",tst,PersonX meets PersonY need,fail,verb
PersonX gives up waiting at the bus stop,"[""none""]",,"[""none""]","[""impatient"", ""irritable"", ""frustrated""]","[""misses the bus"", ""gets late to wherever they were going"", ""ride in a bike"", ""to reach the home""]",,"[""none"", ""wait at the bus stop""]",,"[""to office early"", ""to arrange the meeting"", ""walk instead"", ""get a cab""]",tst,PersonX waits at the bus stop,stop,verb
PersonX refuses to tell PersonY the name.,"[""does not learn information"", ""loses a friend"", ""they are given a name"", ""they are yielded to""]",,"[""to punish personX"", ""to extract information from personX"", ""find out somewhere else""]","[""stubborn"", ""secretive"", ""strong-willed"", ""head-strong""]","[""gets badgered"", ""gets into an argument"", ""they are tied up"", ""they are tortured""]",,"[""to know the name"", ""to talk with personY"", ""know the name""]",,"[""to avoid personY"", ""forget the name""]",tst,PersonX gives PersonY the name,refuse,verb
PersonY never learns the name.,"[""Yelled at by boss"", ""Demoted in job responsibilities"", ""none""]",,"[""none""]","[""Bad"", ""Bewildered"", ""alone"", ""wondering""]","[""none"", ""kind a slow learner"", ""not a genius""]",,"[""none""]",,"[""should learn proper way"", ""to cosines"", ""to hide their embarrassment"", ""to try harder next time"", ""to ask for help"", ""need to learn all names"", ""names are very useful one""]",tst,PersonX gives PersonY the name,never,single_word
PersonX refuses to take PersonY's stand.,"[""feels avoided"", ""is alone"", ""none""]",,"[""to give up"", ""to plead with personx"", ""to debate PersonX"", ""to argue with PersonX""]","[""self-determining"", ""bullheaded"", ""firm"", ""stubborn"", ""unemotional""]","[""none"", ""shame faced"", ""blushes""]",,"[""to be asked to speak"", ""to talk to persony"", ""to hear PersonY's stand"", ""to talk to PersonY""]",,"[""to go home"", ""to avoid persony"", ""to debate PersonY"", ""to argue with PersonY""]",tst,PersonX takes PersonY's stand,refuse,verb
PersonX waits out the illness without medication.,"[""none""]",,"[""none""]","[""smart"", ""healthier"", ""foolish"", ""stubborn""]","[""Becomes sicker"", ""Starts sneezing"", ""symptoms worsen"", ""fever develops"", ""body weakens""]",,"[""get sick"", ""decide to avoid medical treatment"", ""none""]",,"[""get better"", ""talk to a doctor"", ""to be more careful"", ""to be more healthy""]",tst,PersonX goes to the doctor's office,without,single_word
PersonX refuses to help PersonY's sister,"[""none"", ""she hate person x"", ""she need person x's help""]",,"[""to plead for help"", ""to express their disappointment"", ""none""]","[""uncooperative"", ""disloyal"", ""selfish"", ""lazy""]","[""puts on a frown"", ""shows negative feelings"", ""person x hates person y's sister"", ""person x never want to help anyone"", ""person x doesn't have the power to help her"", ""person x not interested to help her""]",,"[""to be asked for help"", ""to decide what to do"", ""none""]",,"[""to not be asked again"", ""to move along"", ""to be safe"", ""to be alone""]",tst,PersonX helps PersonY's brother,refuse,verb
PersonX plays few games games,"[""none""]",,"[""none""]","[""entertained"", ""seeking distractions"", ""disinterested"", ""bored""]","[""mind sharpens"", ""ears twitch"", ""Asked to play by friend"", ""Makes new friend""]",,"[""none"", ""decide a game to play"", ""continue playing""]",,"[""to appear tough"", ""to be serious"", ""play something else"", ""rest""]",tst,PersonX plays lots of games,few,single_word
PersonX never met PersonY,"[""none""]",,"[""none"", ""to send a fake tinder picture"", ""to call personx""]","[""worried"", ""excited"", ""clueless"", ""unaware"", ""oblivious""]","[""nothing know about person y"", ""need to learn him"", ""none""]",,"[""none""]",,"[""to be forgetful"", ""to cause a fight"", ""to reach out to persony"", ""to text persony""]",tst,PersonX gives PersonY the impression,never,single_word
PersonX has no injuries on PersonX's body,"[""none""]",,"[""none""]","[""healthy"", ""lucky"", ""thankful"", ""brave""]","[""none"", ""they go home"", ""they are released from the hospital""]",,"[""none"", ""to be cautious"", ""to avoid danger""]",,"[""go to hospital"", ""and take treatment"", ""to remain healthy"", ""to take care of themselves"", ""to stay safe"", ""to admire their own safety consciousness""]",tst,PersonX sheds PersonX's blood,no,single_word
PersonX is unable to move with bad injury.,"[""none""]",,"[""none""]","[""frustrated"", ""bored"", ""weak"", ""fragile""]","[""sighs in pain"", ""suffers excruciating pain"", ""freezes to death"", ""bleeds to death""]",,"[""to fall"", ""to break a bone"", ""none""]",,"[""to scream for help"", ""to buy a pair of crutches"", ""visit to doctor"", ""get cured""]",tst,PersonX protects PersonY from harm,unable,affixes_adj
PersonX found nothing of interest.,"[""none""]",,"[""none""]","[""incurious"", ""inattentive"", ""bored"", ""uninterested"", ""not stimulated""]","[""frowns"", ""sighs"", ""gets bored"", ""become sleepy""]",,"[""none""]",,"[""to go somewhere new"", ""to pursue a new activity"", ""Finding it"", ""Search for""]",tst,PersonX finds another gear,nothing,single_word
PersonX stops using it,"[""none""]",,"[""none""]","[""exasperated"", ""deliberate"", ""dissatisfied"", ""finished""]","[""goes through withdrawal"", ""feels nauseous"", ""none""]",,"[""none"", ""to start using it"", ""to purchase it""]",,"[""using new one"", ""purchase"", ""to use something else"", ""to purchase something else""]",tst,PersonX starts using it,stop,verb
PersonX avoids PersonY's friend.,"[""wonder why they're being ignored"", ""spend less time with PersonX"", ""none""]",,"[""to ask why"", ""to find a new friend"", ""none""]","[""unapproachable"", ""shy"", ""antisocial""]","[""Thinks of what to say to the friend to explain in the future"", ""Spends more time with PersonY"", ""loses friend"", ""gets yelled at""]",,"[""none""]",,"[""to be alone"", ""to do something else"", ""become lonely"", ""hates""]",tst,PersonX visits PersonY's friend,avoid,verb
PersonX finally disconnected from the group,"[""none"", ""questioning action of personX"", ""loses acquaintance""]",,"[""to disown person x for quiting gang"", ""let things go"", ""none""]","[""reluctant"", ""averse"", ""independent"", ""angry""]","[""is shunned"", ""is rejected"", ""sighs in relief"", ""becomes separated from others""]",,"[""have a reason for wanting to quit"", ""tell his gang leader"", ""none""]",,"[""deal with reprocutions of quiting"", ""move on from gang"", ""to remove the company"", ""to add new one"", ""to be alone"", ""to be quiet""]",tst,PersonX finally joined,disconnect,affixes_verb
PersonX knows nothing about what PersonY knows,"[""none""]",,"[""none"", ""teach personX"", ""remain more informed""]","[""ignorant"", ""oblivious"", ""ill-informed""]","[""Scolded by personY"", ""Told to be more studious"", ""gets educated"", ""is shunned""]",,"[""none""]",,"[""learn what personY knows"", ""ask personY""]",tst,PersonX possesses PersonY knowledge,nothing,single_word
PersonX lacks PersonY knowledge,"[""is thanked by PersonX"", ""has their offer accepted by PersonX"", ""none""]",,"[""none""]","[""untrained"", ""unskilled"", ""incompetent"", ""uninforme""]","[""is offered help to learn"", ""is given an opportunity"", ""learns knowledge"", ""learns new skills""]",,"[""none""]",,"[""to poison persony"", ""to beat persony"", ""to gain knowledge"", ""to learn""]",tst,PersonX possesses PersonY knowledge,lack,verb
PersonX fails PersonX's trigonometry class,"[""none""]",,"[""none""]","[""slow"", ""not sure of themselves"", ""unhappy"", ""bored""]","[""has to restart his grade year"", ""gets yelled at by parents"", ""flunks out of school"", ""has to retake the class"", ""gets grounded by their parents""]",,"[""none"", ""join a trigonometry class"", ""perform poorly in class"", ""to correct the answer"", ""to answer the question""]",,"[""to keep it secret"", ""to ask for a repeat final"", ""study trigonometry"", ""sign up for trig class again"", ""to get practice"", ""to work hard"", ""to study well""]",tst,PersonX fails PersonX's math class,fail,verb
personX makes no effort,"[""none""]",,"[""none""]","[""lazy"", ""unmotivated"", ""selfish"", ""indolent""]","[""gets nowhere in life"", ""is known as a slacker"", ""sleep in the bed"", ""be lazy""]",,"[""none""]",,"[""to stay rested"", ""to be careless"", ""to quit their job"", ""to walk out""]",tst,PersonX makes every effort,no,single_word
PersonX never tries it again,"[""none""]",,"[""to follow him"", ""to inspire of his work"", ""none""]","[""stubborn"", ""childish"", ""giving up"", ""losing""]","[""Teased by friends"", ""Encouraged by parents"", ""none""]",,"[""to attempt the task"", ""to be trust in his goal"", ""none""]",,"[""to try hard"", ""to put his full effort"", ""to start a new career"", ""to be a better person""]",tst,PersonX tries again next year,never,single_word
PersonX never touches PersonY,"[""none""]",,"[""none"", ""avoid being touched"", ""be touched""]","[""avoidant"", ""cautious"", ""careful""]","[""none"", ""becomes upset at themselves"", ""feels inadequate""]",,"[""none"", ""make a point not to touch personY"", ""avoid personY""]",,"[""to be safe"", ""to be clean"", ""find out why personY doesn't like to be touched"", ""maintain boundaries""]",tst,PersonX pulls PersonY's arm,never,single_word
PersonX tells PersonX little brother,"[""must keep a secret"", ""has new information"", ""none""]","[""grateful"", ""loved"", ""informed from being told something"", ""closer to their sibling through having a discussion"", ""closer to person X"", ""more informed"", ""grateful"", ""loved""]","[""none""]","[""loquacious"", ""communicative"", ""helpful"", ""kind""]","[""none""]","[""to communicate something"", ""to talk"", ""to tell their brother something"", ""to have a discussion"", ""speak with little brother"", ""tell little brother something""]","[""none""]","[""like they have a friend"", ""closer to their brother"", ""relieved to tell their brother something"", ""closer to their brother through discussing things with them"", ""better having spoken to little brother"", ""connected to little brother"", ""like they have a friend"", ""closer to their brother""]","[""to share the thoughts"", ""gift  the brother"", ""gets to be friendly"", ""feels great"", ""x""]",tst,PersonX asks PersonX's little brother,little,single_word
PersonX denies PersonY's request.,"[""becomes unable to make it home"", ""becomes sore from walking"", ""person y feels very sad"", ""person y hates person x"", ""gets contacted by recruiters"", ""gets blacklisted by their old company"", ""abandoned"", ""rejected""]",,"[""to understand why"", ""to ask again"", ""receive and apology"", ""find someone else to meet the request"", ""none""]","[""rigid"", ""unreceptive"", ""authoritative"", ""powerful"", ""stern"", ""stingy"", ""unkind"", ""not in the mood to hear it"", ""harsh"", ""strict""]","[""looses a friend"", ""disappoints person y"", ""person x hates person y"", ""person x always hates the people"", ""person x doesn't like person y's activities"", ""gets told personY quits"", ""gets the middle finger from personY"", ""none""]",,"[""to hear the request"", ""to consider the request"", ""hear the request"", ""decide not to fulfill the request"", ""none"", ""to finish the project"", ""to submit the assignment""]",,"[""to explain themselves"", ""to make sure PersonY understands"", ""avoid getting involved"", ""avoid committing to helping"", ""to hate him"", ""to be quiet"", ""to get promotion"", ""to become a leader""]",tst,PersonX grants PersonY request,deny,verb
PersonX is unable to find seating.,"[""none""]",,"[""none""]","[""confused"", ""lost"", ""unlucky"", ""wandering"", ""searcher""]","[""gets told to stand"", ""gets everyone's attention"", ""legs get tired"", ""feet get tired""]",,"[""none""]",,"[""to leave the venue"", ""to go to a different stadium"", ""to ask for help"", ""share the seat""]",tst,PersonX finds a good place,unable,affixes_adj
PersonX avoids PersonY's roommate,"[""ignored"", ""frowns"", ""none""]","[""shunned"", ""unwanted"", ""left out"", ""sad"", ""confused"", ""wanting answers""]","[""to confront their roomate"", ""ignore the problem"", ""none"", ""go talk to the roommate"", ""apologize to the roommate""]","[""selfish"", ""rude"", ""shy"", ""introverted""]","[""none""]","[""to be alone"", ""to be at peace"", ""to avoid a fight"", ""to be left alone"", ""uncomfortable"", ""unconfrontational"", ""doesn't want to hurt person y""]","[""there was an akward encountar between them"", ""is embaressed"", ""not to like person y's roommate"", ""to hate the roommate"", ""walk away"", ""don't talk to the roommate""]","[""alone"", ""isolated"", ""calm"", ""peaceful"", ""relieved"", ""guilty"", ""bittersweet""]","[""confront roomate eventually"", ""keep ignoring them"", ""to find another roommate"", ""to get person y away form the roommate"", ""apologize"", ""dont talk to each other""]",tst,PersonX confronts PersonY's roommate,avoid,verb
PersonX gets a little close,"[""none""]",,"[""none""]","[""curious"", ""motivated"", ""nervous"", ""anxious""]","[""is closer"", ""moves close"", ""gains a date"", ""feels heartbeat from asking girl out""]",,"[""none"", ""to sleep"", ""to arrange the bed""]",,"[""to avoid someone"", ""and love other person"", ""to be safe"", ""to have dinner""]",tst,PersonX gets close enough,little,single_word
PersonX avoids a telephone pole.,"[""none""]",,"[""none""]","[""careful"", ""lucky"", ""intelligent"", ""safe""]","[""car goes into a ditch instead"", ""PersonX gets out of the car"", ""PersonX is stunned"", ""to make conversation with friends"", ""buy a new mobile""]",,"[""to be walking near the telephone pole"", ""to see the pole"", ""none""]",,"[""to continue walking"", ""to get back on the path they are traveling"", ""to be good"", ""to be alone""]",tst,PersonX hits a telephone pole,avoid,verb
PersonX avoids the doctor,"[""none""]",,"[""none"", ""the doctor for a way to meet the person"", ""be a friend with the person""]","[""apprehensive"", ""fearful"", ""hesitant"", ""resistant""]","[""takes risks"", ""is unaware of health"", ""gets sick"", ""dies""]",,"[""none"", ""avoid any means of be close to the doctor"", ""create an enmity with the doctor""]",,"[""to take own"", ""to be fit"", ""keep away from the doctor"", ""stay at his house""]",tst,PersonX goes to the doctor for a checkup,avoid,verb
PersonX never wants,"[""none""]",,"[""none""]","[""rich"", ""wealthy"", ""selfless"", ""considerate""]","[""had every thing he want"", ""may not greedy"", ""none""]",,"[""none""]",,"[""to show others that they are independent"", ""to do everything by themselves"", ""say thanks"", ""go live""]",tst,PersonX really wants,never,single_word
PersonX never attains PersonX's goals.,"[""none""]","[""none""]","[""none""]","[""loser"", ""unsuccessful"", ""unlucky"", ""lazy""]","[""loses his job"", ""loses his wife"", ""they stay in a bad job"", ""they don't earn money""]","[""none"", ""stability"", ""motivation""]","[""none"", ""have some goal"", ""had a lack concentration""]","[""unhappy"", ""let down"", ""disappointed"", ""sad"", ""mad""]","[""to work hard"", ""to put his whole effort"", ""to plan things"", ""concentrate on his work more"", ""have a belief on his own""]",tst,PersonX attains PersonX's goals,never,single_word
PersonX pays without coupons,"[""none""]",,"[""none""]","[""non resourceful"", ""extravagant"", ""wasteful"", ""spendthrift""]","[""none"", ""puts on a smile"", ""becomes relaxed""]",,"[""go to the store"", ""gather what they wish to purchase"", ""none""]",,"[""go home"", ""leave a tip"", ""PersonX feel lonely"", ""Stay at home""]",tst,PersonX uses PersonX's coupons,without,single_word
PersonX says no way.,"[""none""]",,"[""none"", ""to convince PersonX"", ""to point out the pros""]","[""demanding"", ""sure of themselves"", ""determined"", ""stubborn""]","[""to find another way"", ""to avoid the plan"", ""becomes frustrated at getting asked something uncomfortable"", ""yells at person for bothering them""]",,"[""to walk on the road"", ""to be a guide"", ""to be offered a proposition"", ""to talk with someone""]",,"[""to help person y"", ""to find the new way"", ""to leave"", ""to say the proposition is crazy""]",tst,PersonX says sure,no,single_word
PersonX avoids PersonY's grandmother.,"[""They want to avoid person x"", ""They want to argue with person x"", ""none""]","[""sad"", ""upset"", ""unhappy"", ""worried"", ""bewildered"", ""curious""]","[""to ask what's wrong"", ""to avoid PersonX"", ""none""]","[""abstaining"", ""evading others"", ""rude"", ""cowardly""]","[""person x leaves the place"", ""person x doesn't like person y's grandmother"", ""person x ignores person y"", ""written out of will"", ""loses inheritance""]","[""to prevent a fight"", ""to avoid talking"", ""to stay away"", ""to be left alone"", ""to go to the bar"", ""to avoid conflict""]","[""to avoid family events"", ""to avoid personY's gatherings"", ""none"", ""to talk to person y"", ""to find person y's grandmother""]","[""anxious"", ""nervous"", ""sad"", ""worried"", ""guilty"", ""ashamed"", ""clever""]","[""to never talk about Person Y's grandmother"", ""to make up with personY's grandmother"", ""to stay home"", ""to take rest"", ""to get away from person y's grandmother"", ""to be alone""]",tst,PersonX asks PersonY's grandmother,avoid,verb
