event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX had a nightmare last night,tst,"[""cowardly"", ""fearful"", ""scared"", ""depressed""]","[""realizes they wet the bed"", ""gets scolded by mom and dad"", ""cry"", ""shout""]","[""none""]",,,"[""to try and not have a nightmare tonight"", ""to think more positive thoughts"", ""go to sleep"", ""have better dreams""]","[""none""]",,"[""none""]",PersonX has a dream last night
PersonY listens to PersonX walk away,tst,"[""focused"", ""observant"", ""listening"", ""suspecting"", ""obvious""]","[""are alone"", ""are regretful"", ""becomes creeped out from person y watching them"", ""breaks out in hives from being watched"", ""sweats from getting away"", ""heart beats fast""]","[""move on from x"", ""feel things are unresolved"", ""none""]",,,"[""wait for them to leave"", ""say goodbye"", ""to talk with person y"", ""to see person y""]","[""say goodbye"", ""go home"", ""none""]",,"[""be near personX"", ""realize personX is walking away"", ""to walk with person y"", ""to walk behind person y""]",PersonX stops but PersonY did n't listen
PersonX is afraid of the water,tst,"[""not good at swimming"", ""a frightened person"", ""scared"", ""timid"", ""doubtful""]","[""scare of bacteria's"", ""not a good swimmer"", ""move away from water"", ""sweat from nerves""]","[""none""]",,,"[""to see a therapist"", ""to stay away from water"", ""to avoid the water"", ""to give in to their fear""]","[""none""]",,"[""none"", ""to have experienced the water"", ""to have formed an opinion about the water""]",PersonX wants to learn how to swim
Person X makes Person Y wobble.,tst,"[""energetic"", ""vigorous"", ""happy"", ""violent""]","[""is scolded by person y"", ""person y looses trust in person x"", ""pushes person y"", ""catches their balance""]","[""looses balance"", ""falls and breaks hand"", ""fall down"", ""cry""]",,,"[""to apologize person y"", ""to be a good friend"", ""steady personY"", ""apologize""]","[""none"", ""steady themselves"", ""be unaffected""]",,"[""to talk to person y"", ""to make fun of person y"", ""be near personY"", ""approach personY""]",PersonX maintains PersonY equilibrium
PersonX burns some pasta,tst,"[""inattentive"", ""careless"", ""reckless""]","[""Scolded by mother"", ""Called an incompetent cook"", ""X sets off the fire alarm"", ""X startles his cat"", ""X has nothing prepared for dinner""]","[""none""]",,,"[""find something else to eat"", ""clean the pan"", ""to stay rested"", ""to do nothing""]","[""none""]",,"[""heat pasta"", ""none""]",PersonX makes some pasta
PersonX goes on a surpise trip.,tst,"[""excited"", ""hopeful"", ""amazed"", ""ecstatic"", ""curious"", ""adventurous""]","[""looks forward to new adventures"", ""becomes excited"", ""Questioned by parents"", ""Told to come back home""]","[""none""]",,,"[""travel more"", ""go back to work"", ""to stay calm"", ""to cause positive feelings""]","[""none""]",,"[""pick a destination"", ""pack for the trip"", ""none""]",PersonX plans a trip
PersonX saves their money,tst,"[""responsible"", ""disciplined"", ""motivated"", ""frugal"", ""careful""]","[""they make a big purchase"", ""they can retire early"", ""gets rich"", ""gets complimented""]","[""none""]",,,"[""to buy a new house"", ""to buy a new car"", ""to help other"", ""to buy car""]","[""none""]",,"[""none""]",PersonX pisses money up the wall
PersonX is the last to know,tst,"[""uninformed"", ""out of the loop"", ""inattentive"", ""incurious""]","[""furrows their brow"", ""shakes their head solemnly"", ""they get upset"", ""they confront them""]","[""none""]","[""hurt"", ""left out"", ""ostracized"", ""lonely"", ""betrayed"", ""confused"", ""worried"", ""upset"", ""sad""]","[""justified"", ""mistaken"", ""apologetic"", ""none""]","[""confront whoever was first to know"", ""tell other people"", ""feels awful"", ""feels sad"", ""learn some information about person"", ""let him know about us"", ""to be very clam"", ""to be relax in all the time""]","[""none"", ""try to communicate with him"", ""make him as a friend""]","[""none""]","[""ask others if they knew"", ""try and find out the secret"", ""none""]",PersonX breaks the news
PersonX misses the bus to work,tst,"[""lazy"", ""slow"", ""late"", ""worried""]","[""gets late to work"", ""gets reprimanded by the boss"", ""they are written up"", ""they are fired""]","[""none""]","[""like they are going to be late"", ""like they tried their best"", ""ashamed"", ""embarassed at being late"", ""anxious as to what to do next"", ""angry"", ""aggrivated"", ""sad"", ""in a rush""]","[""like they want them their"", ""like they should make it on time"", ""none""]","[""to hire taxi"", ""to go to office"", ""catch another bus"", ""be fast about it"", ""to relax him"", ""find way to reach the place other way""]","[""none""]","[""none""]","[""none"", ""wake very early"", ""leave to bus station as early as possible"", ""wake up late"", ""very tried""]",PersonX catches the bus to work
PersonX starts PersonX's test.,tst,"[""responsible"", ""determined"", ""nervous"", ""prepared"", ""capable""]","[""gets caught for fraud"", ""gets arrested"", ""gets a grade"", ""gets comments""]","[""gets arrested"", ""gets interrogated"", ""none""]",,,"[""to look over at their neighbor's test"", ""to hand in the exam and leave early"", ""to be motivated"", ""to be fit""]","[""none""]",,"[""to fill the ink in their pen"", ""to sit in their desk"", ""none""]",PersonX finishes PersonX's test
