neg_event,event
PersonX does not eat PersonY's lunch,PersonX eats PersonY's lunch
PersonX does not buy PersonY a gift,PersonX buys PersonY a gift
PersonX does not come to PersonY's rescue,PersonX comes to PersonY's rescue
PersonX does not call PersonX's friends over,PersonX calls PersonX's friends over
PersonX does not invite all PersonY's friends over,PersonX invites all PersonY's friends over
PersonX does not call PersonX's neighbor,PersonX calls PersonX's neighbor
PersonX does not change PersonY's mind,PersonX changes PersonY's mind
PersonX does not call PersonY name,PersonX calls PersonY name
PersonX does not keep PersonY company,PersonX keeps PersonY company
PersonX does not keep PersonY long,PersonX keeps PersonY long
PersonX does not open PersonY's eyes,PersonX opens PersonY's eyes
PersonX does not call all PersonY's friends,PersonX calls all PersonY's friends
PersonX does not keep an eye on PersonY,PersonX keeps an eye on PersonY
PersonX does not turn PersonY's head,PersonX turns PersonY's head
PersonX does not clean PersonY's room,PersonX cleans PersonY's room
PersonX does not contribute to PersonY's success,PersonX contributes to PersonY's success
PersonX does not let PersonY go,PersonX lets PersonY go
PersonX does not leave PersonX's wife,PersonX leaves PersonX's wife
PersonX does not teach PersonY a lesson,PersonX teaches PersonY a lesson
PersonX does not make some new friends,PersonX makes some new friends
PersonX does not give PersonY money,PersonX gives PersonY money
PersonX does not cook for PersonY,PersonX cooks for PersonY
PersonX does not meet PersonX's sister,PersonX meets PersonX's sister
PersonX does not decide to make PersonY's breakfast in bed,PersonX decides to make PersonY's breakfast in bed
PersonX does not read PersonY's mind,PersonX reads PersonY's mind
PersonX does not meet PersonY in person,PersonX meets PersonY in person
PersonX does not give PersonY a hand,PersonX gives PersonY a hand
PersonX does not divorce PersonX's wife,PersonX divorces PersonX's wife
PersonX does not ask PersonY questions,PersonX asks PersonY questions
PersonX does not meet PersonY mother,PersonX meets PersonY mother
PersonX does not divorce PersonY,PersonX divorces PersonY
PersonX does not drive PersonY crazy,PersonX drives PersonY crazy
PersonX does not drive to PersonY's house,PersonX drives to PersonY's house
PersonX does not meet up with PersonY,PersonX meets up with PersonY
PersonX does not find PersonY solution,PersonX finds PersonY solution
