event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not keep PersonX's lips sealed,"[""none"", ""none""]","[""none"", ""none"", ""angry"", ""annoyed""]","[""none"", ""give PersonX an opinion"", ""tell PersonX to be quiet"", ""none"", ""to listen to gossip"", ""to hear what PersonX has to say""]","[""unsuccessful"", ""annoyed"", ""big mouth"", ""too mouthy"", ""loud"", ""annoyed"", ""talkative"", ""untrustworthy"", ""a gossip""]","[""none"", ""gets yelled at"", ""gets ignored"", ""none"", ""have PersonX's secrets revealed"", ""disappoints in self""]","[""none"", ""to blab"", ""to spill the beans"", ""none"", ""to share the secret"", ""to get attention""]","[""none"", ""gain knowledge of an event"", ""find someone else to tell to"", ""to find out a secret"", ""to be threatened to keep silent"", ""to know secrets"", ""to be speaking with others""]","[""noisy"", ""tired"", ""guilty"", ""abashed"", ""talkative"", ""friendly"", ""guilty"", ""regretful""]","[""reveal secrets to others"", ""be social"", ""listen to another opinion"", ""see if the event is true"", ""to go to the police"", ""to share all the information"", ""to tell secrets"", ""to gossips""]",trn,PersonX keeps PersonX's lips sealed
PersonX does not give PersonY a book,"[""none"", ""none""]","[""none"", ""none"", ""annoyed"", ""saddened""]","[""look for new book"", ""question action"", ""none"", ""to not return the book"", ""to not read the book"", ""to get the book"", ""to find the book""]","[""selfish"", ""hoarding"", ""spiteful"", ""selfish"", ""unwilling"", ""ungiving""]","[""none"", ""none""]","[""didn't get person y anything"", ""to keep a book for himself"", ""none"", ""none"", ""they don't want to share"", ""they aren't finished with it""]","[""have a book"", ""asked to give book"", ""to talk with person y"", ""to fight with person y"", ""none"", ""to get a book"", ""to know PersonY""]","[""disappointed in himself"", ""cheap"", ""sad"", ""rude"", ""selfish"", ""immature"", ""resentful"", ""churlish""]","[""keep the book"", ""give book to someone else"", ""to relax"", ""to drink juice"", ""to not ask for the book back"", ""to read the book"", ""to keep the book"", ""to do nothing""]",trn,PersonX gives PersonY a book
PersonX does not dry PersonY,"[""none"", ""develops a rash"", ""forms a bedsore"", ""becomes cold"", ""cries"", ""none""]","[""none"", ""neglected"", ""wet"", ""upset"", ""uncomfortable""]","[""none"", ""to get dry"", ""to get PersonX wet"", ""to get dried off"", ""to find a towel"", ""to keep swimming until they are ready to stop"", ""to dry themsevles off""]","[""inconsiderate"", ""selfish"", ""professional"", ""respectful of boundaries"", ""unhelpful"", ""decorous"", ""careless"", ""uninterested""]","[""none"", ""cried at"", ""yelled at"", ""none""]","[""none"", ""none"", ""to dry themself"", ""for personY to be wet""]","[""to call person y"", ""to talk to person y"", ""to get PersonY wet"", ""to know PersonY"", ""none"", ""to have a relationship with PersonY"", ""to be present in a situation in which PersonY gets wet""]","[""irresponsible"", ""bad"", ""contented"", ""happy"", ""lucky"", ""unencumbered"", ""entertained"", ""pleased""]","[""to be a good friend to person y"", ""to shake hands"", ""to give PersonY a towel"", ""to give PersonY a hair dryer"", ""to tell PersonY to dry off"", ""to hand them a towel"", ""to let PersonY continue swimming"", ""to respect PersonY's personal space""]",trn,PersonX dries PersonY
PersonX does not create PersonY atmosphere,"[""none"", ""none""]","[""unseen"", ""ignored"", ""trifled"", ""rushed"", ""Grown"", ""Lost"", ""annoyed"", ""offended""]","[""none"", ""challenge themselves to exist their own atmopshere"", ""acclimate to new atmosphere"", ""none""]","[""inconsiderate"", ""selfish"", ""uncaring"", ""boring"", ""dull"", ""unstimulating"", ""lazy"", ""uncaring""]","[""none"", ""none""]","[""none"", ""to get to the point"", ""to get right down to business"", ""none"", ""to stay out of it"", ""to be unhelpful""]","[""none"", ""to think about person y"", ""to help person y"", ""none""]","[""ineffective"", ""impotent"", ""no-nonsense"", ""rushed"", ""Busy"", ""Unconcerned"", ""proud"", ""pleased""]","[""to stay home"", ""to go away"", ""to talk to person y"", ""to make person y comfortable"", ""enter a random atmosphere"", ""make sure they could survive"", ""to try again"", ""to get inspiration""]",trn,PersonX creates PersonY atmosphere
PersonX does not take advantage of PersonY,"[""none"", ""none""]","[""none"", ""happy"", ""thankful"", ""none""]","[""none"", ""none""]","[""principled"", ""ethical"", ""Nice"", ""Selfless"", ""Caring"", ""caring"", ""giving"", ""fair"", ""honest"", ""trustworthy""]","[""Asked on a date"", ""Enters into long term relationship"", ""none"", ""none"", ""asked out by personY"", ""Kissed by personY""]","[""none"", ""to be honorable"", ""to be trustworthy"", ""to be kind"", ""to be thoughtful""]","[""none"", ""none""]","[""satisfied"", ""happy"", ""cared for"", ""loving"", ""trustworthy"", ""good"", ""kind"", ""vindicated""]","[""to love them"", ""take care of them"", ""to be more careful"", ""to be attentive"", ""to respect them"", ""to love them"", ""be kind"", ""be ethical""]",trn,PersonX takes advantage of PersonY
PersonX does not get another job,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""content"", ""complacent"", ""freed"", ""tired"", ""poor"", ""wrecked"", ""unemployed""]","[""none"", ""they become homeless"", ""goes broke"", ""evicted"", ""sighs in frustration"", ""gets rejected""]","[""to be lazy"", ""feel sad"", ""none"", ""none"", ""to be unconstrained"", ""remain free""]","[""none"", ""to not spend enough time performing a job search"", ""to not perform well at the interview"", ""to apply for employment"", ""to not be offered the position"", ""none""]","[""sad"", ""upset"", ""worried"", ""downtrodden"", ""upset with themselves"", ""poor"", ""irresponsible""]","[""to try harder"", ""to do a better job"", ""to spend more effort preparing for the interview"", ""to improve their job skills"", ""to continue looking"", ""to be interviewed"", ""to be offered a position"", ""to go back to school"", ""to quit his job""]",trn,PersonX gets another job
PersonX does not give PersonY PersonX's hand,"[""none"", ""becomes angry"", ""becomes frustrated"", ""N\\A"", ""none""]","[""none"", ""rejected"", ""depressed"", ""none""]","[""to respect PersonX's wishes"", ""to try to hold PersonX's hand anyway"", ""to retaliate against PersonX"", ""to avoid PersonX"", ""none"", ""to make up"", ""talk it out""]","[""aloof"", ""detached"", ""snubbing"", ""germophobic"", ""cautious"", ""rude"", ""unsympathetic"", ""cold"", ""uncaring"", ""unkind""]","[""none"", ""none""]","[""none"", ""to be alone"", ""find a new mate"", ""none""]","[""to be with PersonY"", ""to have PersonY reach out to them"", ""to abhor PersonY"", ""to be near PersonY"", ""none"", ""be angry"", ""be upset""]","[""tired"", ""bored"", ""lonely"", ""sad"", ""regretful"", ""torn"", ""selfish"", ""mean""]","[""to do it on their own"", ""to avoid PersonY"", ""to get away from PersonY"", ""to continue ignoring PersonY"", ""to remain out of contact"", ""to maintain this \""hands-off\"" approach"", ""to leave"", ""to go home""]",trn,PersonX gives PersonY PersonX's hand
PersonX does not bleach PersonY's hair,"[""none"", ""has original hair color"", ""goes unnoticed"", ""none""]","[""confused"", ""annoyed"", ""none"", ""grateful"", ""frustrated"", ""disappointed"", ""like asking someone else""]","[""yell at X for messing up her hair"", ""demand a refund for the poor job"", ""none"", ""none"", ""to yell at personx"", ""to get a refund""]","[""wise"", ""hesitant"", ""intelligent"", ""thoughtful"", ""unskilled"", ""unwilling"", ""loyal"", ""respectful""]","[""none"", ""none""]","[""to refuse service"", ""to avoid people"", ""none"", ""responsible"", ""cautious"", ""to not mess it up"", ""to not take up the time""]","[""offer Y a hair dye job"", ""misread the instructions"", ""none"", ""to wash the hair"", ""dry the hair"", ""none""]","[""uncooperative"", ""angry"", ""curious"", ""contented"", ""relieved"", ""pleased"", ""not pressured"", ""not nervous about messing up""]","[""end up dying the hair a darker color"", ""apologize to the client"", ""wash their hair"", ""show it off"", ""lighten  the hair"", ""color the hair"", ""to cut their hair"", ""to dry their hair""]",trn,PersonX bleaches PersonY's hair
PersonX does not provide PersonY environment,"[""none"", ""loses opportunity"", ""has not enough space"", ""none""]","[""none"", ""annoyed"", ""controlled"", ""none"", ""angry"", ""annoyed""]","[""none"", ""to get an environment"", ""to find their own space"", ""none""]","[""rude"", ""unkind"", ""careless"", ""stingy"", ""unyielding"", ""unhelpful"", ""Careless"", ""Mean""]","[""none"", ""has more room"", ""benefits"", ""none""]","[""none"", ""to stop Person Y"", ""to be in control"", ""none"", ""to harm them"", ""to spite them""]","[""none"", ""none""]","[""rude"", ""irresponsible"", ""powerful"", ""strong"", ""bad"", ""nervous"", ""devious"", ""proud""]","[""to stay mean"", ""to upset Y"", ""to be alone"", ""to make Y mad"", ""to avoid PersonY"", ""to ignore PersonY"", ""to irritate person y"", ""to make fun""]",trn,PersonX provides PersonY environment
PersonX does not carry PersonY along,"[""none"", ""is lost"", ""is confused"", ""gets curious"", ""retain the hovering questions to ask later"", ""none""]","[""none"", ""left out"", ""worried"", ""sad"", ""rejected""]","[""to go with PersonX"", ""to keep going"", ""some help"", ""to not be alone"", ""none"", ""to get experience"", ""to go along to the destination""]","[""weak"", ""selfish"", ""unhelpful"", ""careless"", ""undependable"", ""deserter"", ""unhelpful"", ""inconsiderate""]","[""none"", ""none""]","[""none"", ""to be alone"", ""to do something alone"", ""to be free""]","[""to know PersonY"", ""to be asked by PersonY to go with them"", ""none"", ""none"", ""to go to a destination"", ""to be near PersonX""]","[""alone"", ""lonely"", ""sad"", ""determined"", ""motivated"", ""free"", ""lonely""]","[""to be alone"", ""to travel freely"", ""them to do their own work"", ""focus on themself"", ""to leave PersonY alone"", ""to avoid PersonY"", ""to get to their destination"", ""to complete the task""]",trn,PersonX carries PersonY along
