event,logicNeg,cueNeg,pragNeg
PersonX preaches god's ___,[],[],[]
PersonX says grace,"[""PersonX does not say grace"", ""PersonX doesn't say grace""]",[],"[""PersonX says hateful things""]"
PersonX quits ___ for good,[],[],[]
PersonX goes golfing,"[""PersonX does not go golfing""]",[],"[""PersonX stays home and watches tv"", ""PersonX stays indoors""]"
PersonX wipes PersonY's hands,"[""PersonX does not wipe PersonY's hands""]",[],"[""PersonX throws dirt on PersonY's hand"", ""PersonX holds dishes with both hands.""]"
PersonX is on PersonX's computer,"[""PersonX is not on PersonX's computer""]","[""PersonX is barely on PersonX's computer""]","[""PersonX is reading a book."", ""PersonX is on PersonX's phone.""]"
PersonX goes to the doctor's office,"[""PersonX does not go to the doctor's office""]","[""PersonX in no way goes to the doctor's office"", ""PersonX waits out the illness without medication.""]","[""Person X goes to the candy shop""]"
PersonX is even worse,"[""PersonX is not even worse""]",[],"[""PersonX is the best."", ""personX is even better""]"
PersonX stops at the store,"[""PersonX does not stop at the store""]","[""PersonX rarely stops at the store""]","[""PersonX drives by the store"", ""PersonX lives at the store""]"
PersonX protects ___ from abuse,[],[],[]
PersonX tries PersonX's ___ at making,[],[],[]
PersonX plays dodgeball,"[""PersonX does not play dodgeball""]",[],"[""PersonX plays footbal"", ""PersonX watches sports""]"
PersonX is mother,"[""PersonX is not mother""]","[""PersonX has no one to call him dad.""]","[""PersonX is a father.""]"
PersonX makes PersonY change,"[""PersonX does not make PersonY change""]",[],"[""PersonX lets PersonY stay the same"", ""PersonX lets PersonY alone.""]"
PersonX plays laser tag,"[""PersonX does not play laser tag""]","[""PersonX not by any means plays laser tag"", ""PersonX never plays laser tag""]","[""PersonX plays at home.""]"
PersonX builds something,"[""PersonX does not build something""]","[""PersonX builds nothing""]","[""PersonX destroys something"", ""PersonX tears down something.""]"
PersonX increases the ___ at the expense,[],[],[]
PersonX feels funny,"[""PersonX does not feel funny"", ""PersonX is not sick.""]",[],"[""PersonX feels sad""]"
PersonX sits together,"[""PersonX does not sit together""]","[""PersonX has trouble with sitting together""]","[""PersonX sits far away""]"
PersonX cuts swathes,"[""PersonX does not cut swathes""]",[],"[""PersonX makes swathes"", ""personx cuts bacon""]"
PersonX turns PersonY's life around,"[""PersonX does not turn PersonY's life around""]","[""PersonX disapproves turning PersonY's life around"", ""PersonX helps no one""]","[""PersonX ruins PersonY's life.""]"
PersonX loves cake,"[""PersonX does not love cake""]",[],"[""PersonX hates desserts."", ""PersonX loves salad.""]"
PersonX turns a blind eye,"[""PersonX does not turn a blind eye""]",[],"[""PersonX tells it all"", ""PersonX pays attention""]"
PersonX stands the test of time,"[""PersonX does not stand the test of time""]",[],"[""PersonX crumbles under pressure"", ""PersonX stands to lose""]"
PersonX makes PersonY alliance,"[""PersonX does not make PersonY alliance""]",[],"[""PersonX breaks PersonY alliance"", ""Person X breaks bond with person Y""]"
PersonX makes that mistake again,"[""PersonX does not make that mistake again""]","[""PersonX under no circumstances makes that mistake again"", ""PersonX prevents themselves from making that mistake again"", ""PersonX never makes that mistake again""]","[""PersonX is dilligent""]"
PersonX attention whores,"[""PersonX does not attention whores""]",[],"[""Personx remains a wall flower"", ""PersonX is an introvert.""]"
PersonX pays taxes,"[""PersonX does not pay taxes""]","[""PersonX fails to pay taxes"", ""PersonX avoids taxes""]","[""PersonX withholds tax money.""]"
PersonX helps PersonY along,"[""PersonX does not help PersonY along""]","[""PersonX not by any means helps PersonY along"", ""PersonX gave no aid to PersonY.""]","[""PersonX pushes PersonY along""]"
PersonX is walking down the street,"[""PersonX is not walking down the street""]","[""PersonX is by no means walking down the street""]","[""PersonX skips down the street."", ""PersonX is under quarantine""]"
PersonX puts it all together,"[""PersonX does not put it all together""]","[""PersonX avoids putting it all together""]","[""PersonX is confused""]"
PersonX paces back and forth,"[""PersonX does not pace back and forth""]",[],"[""PersonX takes a nap"", ""PersonX sleeps.""]"
PersonX builds muscle,"[""PersonX does not build muscle""]","[""PersonX no longer builds muscle"", ""PersonX hardly ever builds muscle""]","[""PersonX loses muscle."", ""PersonX does cardio to lean out""]"
PersonX loves the world gave,"[""PersonX does not love the world gave""]",[],"[""Person X hates the world"", ""PersonX wants to drill for more oil""]"
PersonX knows PersonY,"[""PersonX does not know PersonY""]",[],"[""PersonX is a stranger to PersonY""]"
PersonX misses work,"[""PersonX does not miss work""]","[""PersonX under no circumstances misses work""]","[""PersonX completes work"", ""PersonX is unemployed""]"
PersonX arches PersonY back,"[""PersonX does not arch PersonY back""]",[],"[""PersonY arches PersonX's back."", ""PersonX pulls PersonY forward""]"
PersonX puts PersonX's ___ together,[],[],[]
PersonX walks humbly with PersonY's god,"[""PersonX does not walk humbly with PersonY's god""]","[""PersonX not by any means walks humbly with PersonY's god""]","[""PersonX is an atheist."", ""PersonX rebels against PersonY's god.""]"
PersonX throws some bread,"[""PersonX does not throw some bread"", ""PersonX doesn't throw some bread""]",[],"[""PersonX picks up some bread""]"
PersonX spends the ___ at PersonY's house,[],[],[]
PersonX brings ___ to PersonY's eyes,[],[],[]
PersonX hands PersonY a glass,"[""PersonX does not hand PersonY a glass""]",[],"[""PersonX grabs a glass from PersonY"", ""PersonX takes PersonY's glass""]"
PersonX passes PersonX's exam,"[""PersonX does not pass PersonX's exam""]","[""PersonX fails PersonX's exam"", ""PersonX failed PersonX's exam.""]",[]
PersonX eats it,"[""PersonX does not eat it"", ""PersonX doesn't eat it""]","[""PersonX stops eating it"", ""PersonX never eats it""]","[""PersonX drinks it""]"
PersonX hangs PersonX's ___ in shame,[],[],[]
PersonX glares at PersonY,"[""PersonX does not glare at PersonY""]",[],"[""PersonX licks PersonY."", ""PersonX smiles at PersonY""]"
PersonX finishes shopping,"[""PersonX does not finish shopping""]",[],"[""PersonX keeps shopping"", ""personx finishes cooking""]"
PersonX buys a computer,"[""PersonX does not buy a computer""]","[""PersonX not by any means buys a computer""]","[""PersonX sells a computer"", ""PersonX sells a computer.""]"
PersonX rests on PersonY's shoulder,"[""PersonX does not rest on PersonY's shoulder""]","[""PersonX on no condition rests on PersonY's shoulder""]","[""PersonX sits up from PersonY's shoulder."", ""PersonX pushhes PersonY's shoulder""]"
PersonX puts PersonY's ___ in execution,[],[],[]
PersonX holds the ___ in place,[],[],[]
PersonX sets ___ on the table,[],[],[]
PersonX roots for PersonY,"[""PersonX does not root for PersonY""]","[""PersonX disparages PersonY""]","[""PersonX boo's PersonY.""]"
PersonX takes liberties,"[""PersonX does not take liberties""]",[],"[""PersonX stays disciplined"", ""PersonX sticks to the rule book""]"
PersonX spends ___ on the beach,[],[],[]
PersonX sends ___ home,[],[],[]
PersonX loves sweets,"[""PersonX does not love sweets""]",[],"[""PersonX loves salty foods"", ""PersonX  likes savory food.""]"
PersonX sits down across from PersonY,"[""PersonX does not sit down across from PersonY""]",[],"[""PersonX stands up across from PersonY."", ""PersonX sits next to persony""]"
PersonX is ready to go,"[""PersonX is not ready to go""]","[""PersonX is unready to go"", ""PersonX is in no way ready to go"", ""PersonX is under no circumstances ready to go"", ""PersonX is not at all ready to go"", ""PersonX is seldomly ready to go""]","[""PersonX is lounging on a couch"", ""PersonX wants to stay at home""]"
PersonX brings the puppy,"[""PersonX does not bring the puppy""]","[""PersonX fails to bring the puppy""]","[""PersonX leaves the puppy""]"
PersonX shows schematically in figure,"[""PersonX does not show schematically in figure""]",[],"[""PersonX watch schematically in figure"", ""PersonX hand draws the figure .""]"
PersonX kisses PersonY cheek,"[""PersonX does not kiss PersonY cheek"", ""PersonX doesn't kiss PersonY's cheek""]",[],"[""PersonX bites PersonY cheek""]"
PersonX finds the ring,"[""PersonX does not find the ring""]",[],"[""PersonX loses the ring"", ""PersonX loses the ring.""]"
PersonX is too much for PersonY,"[""PersonX is not too much for PersonY""]","[""PersonX is not by any means too much for PersonY""]","[""PersonX underwhelms PersonY"", ""PersonX is too easy for PersonY""]"
PersonX watches PersonY's face,"[""PersonX does not watch PersonY's face""]",[],"[""PersonY watches PersonX's face"", ""PersonX covers PersonY's face.""]"
PersonX meets PersonY's customers ' ___,[],[],[]
PersonX kisses PersonY's way,"[""PersonX does not kiss PersonY's way""]",[],"[""PersonX rejects PersonY's way."", ""PersonX punches PersonY""]"
PersonX uses ___ anymore,[],[],[]
PersonX loves ___ with PersonX's heart,[],[],[]
PersonX sees ___ away,[],[],[]
PersonX can not help PersonY,[],[],"[""PersonX offers to help PersonY"", ""PersonX gives aid to PersonY.""]"
PersonX draws PersonY conclusion,"[""PersonX does not draw PersonY conclusion""]","[""PersonX resists drawing PersonY conclusion""]","[""PersonX draws PersonY start""]"
PersonX spends a lot of time together,"[""PersonX does not spend a lot of time together""]",[],"[""PersonX is home alone."", ""PersonX is alone""]"
PersonX is always busy,"[""PersonX is not always busy""]","[""PersonX is not at all always busy"", ""PersonX rarely has anything to do.""]","[""PersonX has plenty of free time""]"
PersonX transmits in PersonY form,"[""PersonX doesn't transmit in PersonY's form""]",[],"[""PersonX loses PersonY's form.""]"
PersonX makes some cookies,"[""PersonX does not make some cookies""]",[],"[""Person X makes some cake"", ""PersonX buys some cookies.""]"
PersonX draws the short straw,"[""PersonX does not draw the short straw""]","[""PersonX rarely draws the short straw""]","[""PersonX draws the long straw"", ""PersonX draws a long straw""]"
PersonX needs a bath,"[""PersonX does not need a bath""]",[],"[""PersonX is clean as a whistle"", ""PersonX just took a bath.""]"
PersonX gathers all the ingredients,"[""PersonX does not gather all the ingredients""]",[],"[""PersonX leaves all the ingredients"", ""PersonX loses all the ingredients""]"
PersonX wants to learn how to play the piano,"[""PersonX does not want to learn how to play the piano""]","[""PersonX is uninterested in learning to play an instrument.""]","[""PersonX wants to learn how to draw.""]"
PersonX prevents PersonY from taking,"[""PersonX does not prevent PersonY from taking""]",[],"[""PersonX allows PersonY to take it"", ""PersonX allows PersonY to take.""]"
PersonX curls PersonX's hair,"[""PersonX does not curl PersonX's hair""]","[""PersonX uncurls PersonX's hair"", ""PersonX ceases curling PersonX's hair""]","[""PersonX straightens PersonX's hair"", ""PersonX leaves PersonX's hair straight.""]"
PersonX screams bloody murder,"[""PersonX does not scream bloody murder""]",[],"[""PersonX remains quiet"", ""PersonX stays silent""]"
PersonX brings PersonY in,"[""PersonX does not bring PersonY in""]","[""PersonX rarely brings PersonY in""]","[""PersonX takes PersonY out""]"
PersonX confronts PersonX's roommate,"[""PersonX does not confront PersonX's roommate""]","[""PersonX discontinues confronting PersonX's roommate"", ""PersonX hardly confronts PersonX's roommate""]","[""PersonX ignores PersonX's roommate"", ""PersonX welcomes PersonX's roommate""]"
PersonX works tirelessly,"[""PersonX does not work tirelessly""]","[""PersonX denies that they work tirelessly"", ""PersonX never works.""]",[]
PersonX understands the ___ fully,[],[],[]
PersonX takes selfies,"[""PersonX does not take selfies""]","[""PersonX not by any means takes selfies""]","[""PersonX takes photos of other people."", ""PersonX leaves their phone at home""]"
PersonX does n't make the cut,[],[],"[""PersonX is picked for the team."", ""PersonX makes the cut""]"
PersonX draws ___ to the need,[],[],[]
PersonX gets PersonY's hands,"[""PersonX does not get PersonY's hands""]",[],"[""PersonX gives PersonY's hands"", ""PersonY gets PersonX's hands""]"
PersonX makes my day,"[""PersonX does not make my day""]",[],"[""PersonX ruins my day"", ""PersonX makes me cry""]"
PersonX chooses one,"[""PersonX does not choose one""]",[],"[""PersonX picks three options"", ""PersonX chooses none""]"
PersonX forgets PersonY's wallet,"[""PersonX does not forget PersonY's wallet""]","[""PersonX under no circumstances forgets PersonY's wallet""]","[""PersonX remembered PersonY's wallet."", ""PersonX brings PersonY's purse to them""]"
PersonX visits PersonY friend,"[""PersonX does not visit PersonY friend"", ""PersonX doesn't like PersonY's friend""]",[],"[""PersonX invites PersonY's and friends out""]"
PersonX shares PersonY experience,"[""PersonX does not share PersonY experience""]","[""PersonX refuses to share PersonY experience""]","[""PersonX hides PersonY experience""]"
PersonX draws another ___,[],[],[]
PersonX gets ___ right,[],[],[]
PersonX moves every ___,[],[],[]
PersonX provides ___ for the poor,[],[],[]
PersonX has an amazing time,"[""PersonX does not have an amazing time""]","[""PersonX lacks an amazing time"", ""PersonX is deprived of an amazing time"", ""PersonX has a lack of an amazing time"", ""PersonX has little amazing times"", ""PersonX has few amazing times"", ""PersonX has no amazing times""]","[""PersonX is bored to tears"", ""PersonX has a miserable time""]"
PersonX makes some pasta,"[""PersonX does not make some pasta""]",[],"[""PersonX is on keto diet."", ""PersonX burns some pasta""]"
PersonX becomes another ___,[],[],[]
PersonX decides to read a book,"[""PersonX does not decide to read a book""]",[],"[""Personx decides to burn a book"", ""PersonX decides to watch a movie""]"
PersonX finishes PersonX's test,"[""PersonX does not finish PersonX's test""]","[""PersonX makes no attempt to finish PersonX's test""]","[""PersonX starts PersonX's test"", ""PersonX starts PersonX's test.""]"
PersonX visits PersonX's cousin,"[""PersonX does not visit PersonX's cousin""]","[""PersonX resists visiting PersonX's cousin"", ""PersonX in no way visits PersonX's cousin"", ""PersonX shuns PersonX's cousin and never sees them.""]","[""PersonX goes on work as an excuse of unavailability to PersonX's cousin.""]"
PersonX looks PersonX's ___ in the face,[],[],[]
PersonX directs PersonY's attention,"[""PersonX does not direct PersonY's attention""]","[""PersonX makes no attempt to direct PersonY's attention""]","[""PeronX ignores PersonY"", ""PersonX diverts PersonY's attention""]"
