neg_event,event,split,neg_cue,neg_cue_type
PersonX has a lack of panic attack,PersonX has a panic attack,trn,a lack of,multi_word
PersonX has a lack of great time at the party,PersonX has a great time at the party,trn,a lack of,multi_word
PersonX has a lack of fun night,PersonX has a fun night,trn,a lack of,multi_word
PersonX has a lack of fun with PersonY's friends,PersonX has fun with PersonY's friends,trn,a lack of,multi_word
PersonX has a lack of fun,PersonX has a ton of fun,trn,a lack of,multi_word
PersonX has a lack of health issues,PersonX has health issues,trn,a lack of,multi_word
PersonX has a lack of great time catching up,PersonX has a great time catching up,trn,a lack of,multi_word
PersonX has a lack of new friend,PersonX has a new friend,trn,a lack of,multi_word
PersonX has a lack of surprise for PersonY,PersonX has a surprise for PersonY,trn,a lack of,multi_word
PersonX has a lack of great time at the concert,PersonX has a great time at the concert,trn,a lack of,multi_word
PersonX has a lack of great idea,PersonX has a great idea,trn,a lack of,multi_word
PersonX has a lack of great time at PersonY's party,PersonX has a great time at PersonY's party,trn,a lack of,multi_word
PersonX has a lack of fun with PersonX's friends,PersonX has fun with PersonX's friends,trn,a lack of,multi_word
PersonX has a lack of fun playing,PersonX has so much fun playing,trn,a lack of,multi_word
PersonX gets very unangry,PersonX gets very angry,trn,unangry,affixes_adj
PersonX is no longer unafraid,PersonX is no longer afraid,trn,unafraid,affixes_adj
PersonX says something unlike,PersonX says something like,trn,unlike,affixes_adj
PersonX feels ungrateful,PersonX feels grateful,trn,ungrateful,affixes_adj
PersonX feels unlike an idiot,PersonX feels like an idiot,trn,unlike,affixes_adj
PersonX tells PersonY unintended,PersonX tells PersonY intended,trn,unintended,affixes_adj
PersonX is nonpregnant with twins,PersonX is pregnant with twins,trn,nonpregnant,affixes_adj
PersonX is unangry at PersonY,PersonX is angry at PersonY,trn,unangry,affixes_adj
PersonX wants PersonY to be unhappy,PersonX wants PersonY to be happy,trn,unhappy,affixes_adj
PersonX is always so unhappy,PersonX is always so happy,trn,unhappy,affixes_adj
PersonX becomes nonpregnant,PersonX becomes pregnant,trn,nonpregnant,affixes_adj
PersonX is unmarried for 20 years,PersonX is married for 20 years,trn,unmarried,affixes_adj
PersonX is uninterested in PersonY,PersonX is interested in PersonY,trn,uninterested,affixes_adj
PersonX feels unregretful,PersonX feels regretful,trn,unregretful,affixes_adj
PersonX is extremely unexcited,PersonX is extremely excited,trn,unexcited,affixes_adj
PersonX is so unexcited to go,PersonX is so excited to go,trn,unexcited,affixes_adj
PersonX feels unlike a kid,PersonX feels like a kid,trn,unlike,affixes_adj
PersonX is very unhappy together,PersonX is very happy together,trn,unhappy,affixes_adj
PersonX might be nonpregnant,PersonX might be pregnant,trn,nonpregnant,affixes_adj
PersonX finds PersonY unattractive,PersonX finds PersonY attractive,trn,unattractive,affixes_adj
PersonX is unlike PersonY,PersonX is like PersonY,trn,unlike,affixes_adj
PersonX makes PersonX's mom unhappy,PersonX makes PersonX's mom happy,trn,unhappy,affixes_adj
PersonX feels undefeated,PersonX feels defeated,trn,undefeated,affixes_adj
PersonX feels unlike a fool,PersonX feels like a fool,trn,unlike,affixes_adj
PersonX is unable to relax,PersonX is able to relax,trn,unable,affixes_adj
PersonX finds the imperfect dress,PersonX finds the perfect dress,trn,imperfect,affixes_adj
PersonX feels uninspired,PersonX feels inspired,trn,uninspired,affixes_adj
PersonX is still unhappy,PersonX is still happy,trn,unhappy,affixes_adj
PersonX gets unorganized,PersonX gets organized,trn,unorganized,affixes_adj
PersonX keeps it unreal,PersonX keeps it real,trn,unreal,affixes_adj
PersonX feels very unhappy,PersonX feels very happy,trn,unhappy,affixes_adj
PersonX sounds unlike PersonY,PersonX sounds like PersonY,trn,unlike,affixes_adj
PersonX plays unprofessional football,PersonX plays professional football,trn,unprofessional,affixes_adj
PersonX remains unquiet,PersonX remains quiet,trn,unquiet,affixes_adj
PersonX gets unmarried in 1981,PersonX gets married in 1981,trn,unmarried,affixes_adj
PersonX feels unlike an eternity,PersonX feels like an eternity,trn,unlike,affixes_adj
PersonX is unstuck in traffic,PersonX is stuck in traffic,trn,unstuck,affixes_adj
PersonX becomes unaddicted,PersonX becomes addicted,trn,unaddicted,affixes_adj
PersonX is super unexcited,PersonX is super excited,trn,unexcited,affixes_adj
PersonX sounds uninteresting,PersonX sounds interesting,trn,uninteresting,affixes_adj
PersonX is unafraid of the water,PersonX is afraid of the water,trn,unafraid,affixes_adj
PersonX takes it uneasy,PersonX takes it easy,trn,uneasy,affixes_adj
PersonX makes people unhappy,PersonX makes people happy,trn,unhappy,affixes_adj
PersonX is extremely unhappy,PersonX is extremely happy,trn,unhappy,affixes_adj
PersonX is about to get unmarried,PersonX is about to get married,trn,unmarried,affixes_adj
PersonX is unable to see PersonY,PersonX is able to see PersonY,trn,unable,affixes_adj
PersonX eats unhealthy food,PersonX eats healthy food,trn,unhealthy,affixes_adj
PersonX always unwanted a puppy,PersonX always wanted a puppy,trn,unwanted,affixes_adj
PersonX keeps unquiet,PersonX keeps quiet,trn,unquiet,affixes_adj
PersonX is getting unmarried,PersonX is getting married,trn,unmarried,affixes_adj
